timestamp,activeOrders, sells,buys, digest
Thu Nov 06 14:17:17 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:20:18 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:23:19 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:26:20 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:29:21 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:32:22 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:35:23 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:38:24 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:41:25 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:44:26 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:47:27 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:50:28 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:53:29 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:56:30 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 14:59:31 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 15:02:32 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 15:05:33 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 15:08:33 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 15:11:35 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 15:14:36 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 15:17:37 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
