timestamp,source,crypto,price,currency,sellprice,buyprice,otherfeeds
Sat Nov 22 17:00:58 EST 2014,btce,ppc,0.716,USD,1.40468994,1.38862849,{ feed : btce - price : 0.716}  { feed : coinmarketcap_ne - price : 0.719599}  { feed : coinmarketcap_no - price : 0.722345}  

Sat Nov 22 17:04:01 EST 2014,btce,ppc,0.711,USD,1.41456821,1.39839381,{ feed : btce - price : 0.711}  { feed : coinmarketcap_ne - price : 0.719599}  { feed : coinmarketcap_no - price : 0.722345}  

Sat Nov 22 17:14:11 EST 2014,btce,ppc,0.718,USD,1.40077716,1.38476045,{ feed : btce - price : 0.718}  { feed : coinmarketcap_ne - price : 0.715312}  { feed : coinmarketcap_no - price : 0.715491}  

Sat Nov 22 17:24:21 EST 2014,btce,ppc,0.713,USD,1.41060028,1.39447125,{ feed : btce - price : 0.713}  { feed : coinmarketcap_ne - price : 0.71923}  { feed : coinmarketcap_no - price : 0.716684}  

Sat Nov 22 17:34:31 EST 2014,btce,ppc,0.718,USD,1.40077716,1.38476045,{ feed : btce - price : 0.718}  { feed : coinmarketcap_ne - price : 0.717959}  { feed : coinmarketcap_no - price : 0.719833}  

Sat Nov 22 17:48:45 EST 2014,btce,ppc,0.716,USD,1.40468994,1.38862849,{ feed : btce - price : 0.716}  { feed : coinmarketcap_ne - price : 0.717279}  { feed : coinmarketcap_no - price : 0.717693}  

Sat Nov 22 17:51:48 EST 2014,btce,ppc,0.717,USD,1.40273082,1.38669177,{ feed : btce - price : 0.717}  { feed : coinmarketcap_ne - price : 0.718895}  { feed : coinmarketcap_no - price : 0.717279}  

Sat Nov 22 17:54:51 EST 2014,btce,ppc,0.71,USD,1.41656056,1.40036338,{ feed : btce - price : 0.71}  { feed : coinmarketcap_ne - price : 0.718895}  { feed : coinmarketcap_no - price : 0.717279}  

Sat Nov 22 17:57:54 EST 2014,btce,ppc,0.705,USD,1.42660709,1.41029504,{ feed : btce - price : 0.705}  { feed : coinmarketcap_ne - price : 0.717964}  { feed : coinmarketcap_no - price : 0.718895}  

Sat Nov 22 18:01:58 EST 2014,btce,ppc,0.71,USD,1.41656056,1.40036338,{ feed : btce - price : 0.71}  { feed : coinmarketcap_ne - price : 0.712533}  { feed : coinmarketcap_no - price : 0.717964}  

Sat Nov 22 18:15:11 EST 2014,btce,ppc,0.708,USD,1.42056215,1.40431921,{ feed : btce - price : 0.708}  { feed : coinmarketcap_ne - price : 0.710365}  { feed : coinmarketcap_no - price : 0.710365}  

Sat Nov 22 18:34:30 EST 2014,btce,ppc,0.704,USD,1.42863352,1.4122983,{ feed : btce - price : 0.704}  { feed : coinmarketcap_ne - price : 0.709405}  { feed : coinmarketcap_no - price : 0.708514}  

